objectid,title,creator,date,subject,language,description,Rrghts,filename,filesize,format
composition1score,Gazing at Ephemerality in My Broken Shadow,"Han, Ziang",9/11/2021,Duo-Music,English,composed for tuba and saxophone for 2424 concert series,"Han, Ziang",Gazing at Ephemerality in My Broken Shadow,105kb,application/pdf
composition1audio,Gazing at Ephemerality in My Broken Shadow,"Han, Ziang",9/14/2021,Duo-Music,English,composed for tuba and saxophone for 2424 concert series,"Han, Ziang","HAN, Gazing at Ephemerality in my Broken Shadow",11.6mb,audio/mp3
composition2score,Hommage to Tania León,"Han, Ziang",11/15/2021,Orchestra-Music,English,"project for a musicoloy class, a composition about the stylist imitation of Cuban-American compoer Tania León","Han, Ziang",Hommage to Tania León,636kb,application/pdf
composition2audio,Hommage to Tania León,"Han, Ziang",12/16/2021,Orchestra-Music,English,"project for a musicoloy class, a composition about the stylist imitation of Cuban-American compoer Tania León","Han, Ziang",Hommage to Tania León,5.6mb,audio/mp3
composition3score,In the Abyss... sheening... weathering,"Han, Ziang",11/16/2021,Quartet-Music,English,"<<In the Abyss... sheening... weathering...>> is inspired by one of my recent composition for tuba and saxophone---<<Gazing at Ephemerality in My Broken Shadow>> I was intrigued by the colorful possibility of sound articulated from tuba played in the Voxman concert hall, so I want to write something for it. I originally planned to write for 3 tubas, but as I know more people from music school, I decide to change it to 2 tubas (John Reyna the tuba student, John Manning the tuba professor) 1 prepared piano and mezzo soprano (Ghadeer Abaido and Kelly Hill, they are friend) These 3 types of instruments seem separate, but I use a lot of techniques that is very “echoing” to make them into a whole. Imagine if you are sitting on the floor of a deep unknown ocean where the historically distanced and unrelated artifacts are presented in front of you because of the unceasing currents, and they are emanating this light sheen. It is so delicate as if it will go away after your next blink, but it will keep weathering and become part of the ocean over a long time. The text is from Kelly Hill’s favorite recitatives in multiple languages, but it’s not related to my sound (music) at all as if it is another entity trying to blend with the other 3 in this abyss.","Han, Ziang",In the Abyss... sheening... weathering,306kb,application/pdf
composition3audio,In the Abyss... sheening... weathering,"Han, Ziang",4/8/2022,Quartet-Music,English,"<<In the Abyss... sheening... weathering...>> is inspired by one of my recent composition for tuba and saxophone---<<Gazing at Ephemerality in My Broken Shadow>> I was intrigued by the colorful possibility of sound articulated from tuba played in the Voxman concert hall, so I want to write something for it. I originally planned to write for 3 tubas, but as I know more people from music school, I decide to change it to 2 tubas (John Reyna the tuba student, John Manning the tuba professor) 1 prepared piano and mezzo soprano (Ghadeer Abaido and Kelly Hill, they are friend) These 3 types of instruments seem separate, but I use a lot of techniques that is very “echoing” to make them into a whole. Imagine if you are sitting on the floor of a deep unknown ocean where the historically distanced and unrelated artifacts are presented in front of you because of the unceasing currents, and they are emanating this light sheen. It is so delicate as if it will go away after your next blink, but it will keep weathering and become part of the ocean over a long time. The text is from Kelly Hill’s favorite recitatives in multiple languages, but it’s not related to my sound (music) at all as if it is another entity trying to blend with the other 3 in this abyss.","Han, Ziang","04 HAN, In the Abyss…Sheening…Weathering",20.7mb,audio/mp3
composition4score,switch,"Han, Ziang",4/20/2022,Trio-Music,English,"composed for Will Yager, Kenken Gordor and Sarah Hetrick","Han, Ziang",switch.pdf,198kb,application/pdf
composition4audio,switch,"Han, Ziang",5/3/2022,Trio-Music,English,"composed for Will Yager, Kenken Gordor and Sarah Hetrick","Han, Ziang",Ziang-switch.mp3,15.4mb,audio/mp3
composition5score,Wandering On the Border of Infinities,"Han, Ziang",2/19/2023,String Quartet-Music,English,"Wandering on the Border of Infinities - This composition is inspired by the construction of a string instrument itself. I imagine the bridge as a metaphorical border, a place that cannot be confined within time or space, filled with mysterious air. As you are wandering around it (above or below the bridge), unknown and strange fields start to emerge and disappear. Sometimes you just look at them from afar, sometimes you find one that is very tempting, and you walk into it….","Han, Ziang",Wandering On the Border of Infinities,289kb,application/pdf
composition5audio,Wandering On the Border of Infinities,"Han, Ziang",12/20/2023,String Quartet-Music,English,"Wandering on the Border of Infinities - This composition is inspired by the construction of a string instrument itself. I imagine the bridge as a metaphorical border, a place that cannot be confined within time or space, filled with mysterious air. As you are wandering around it (above or below the bridge), unknown and strange fields start to emerge and disappear. Sometimes you just look at them from afar, sometimes you find one that is very tempting, and you walk into it….","Han, Ziang","01 ZIANG, Wandering on the Border of Infinities",20.6mb,audio/mp3
composition6score,"Ionized Vision, Vaporized Light","Han, Ziang",2/22/2024,Wind Ensmeble-Music,English,"Ionized Vision, Vaporized Light is about an imagined gigantic and boundless creature who only has access to its optic sensation. The creature is otherwise trapped inside something amorphous, borderless, and invisible. The strong attack at the very beginning, and throughout the piece, represents the loud and metallic clanking sound made by its eyelids as the creature blinks. Each time it blinks, its surroundings crumble down a bit, slowly disintegrating from inside, ionized in the end. Over time, those ionized particles merge with each other and the light, ascending into another space, vaporized.","Han, Ziang","Ionized Vision, Vaporized Light",424kb,application/pdf
composition6audio,"Ionized Vision, Vaporized Light","Han, Ziang",4/11/2023,Wind Ensmeble-Music,English,"Ionized Vision, Vaporized Light is about an imagined gigantic and boundless creature who only has access to its optic sensation. The creature is otherwise trapped inside something amorphous, borderless, and invisible. The strong attack at the very beginning, and throughout the piece, represents the loud and metallic clanking sound made by its eyelids as the creature blinks. Each time it blinks, its surroundings crumble down a bit, slowly disintegrating from inside, ionized in the end. Over time, those ionized particles merge with each other and the light, ascending into another space, vaporized.","Han, Ziang","03 HAN, Ionized Vision, Vaporized Light",13.gmb,audio/mp3
