Title,Composer,Date,Subject,Language,Description,Rights,Filename,Filesize,Filetype
Gazing at Ephemerality in My Broken Shadow,"Han, Ziang",9/11/2021,Duo-Music,English,composed for tuba and saxophone for 2424 concert series,"Han, Ziang",Gazing at Ephemerality in My Broken Shadow (revised version after premiere).pdf,105kb,.pdf
Gazing at Ephemerality in My Broken Shadow,"Han, Ziang",9/14/2021,Duo-Music,English,composed for tuba and saxophone for 2424 concert series,"Han, Ziang",Gazing at Ephemerality in my Broken Shadow.wav,51.5mb,.wav
Hommage to Tania León,"Han, Ziang",11/15/2021,Orchestra-Music,English,"project for a musicoloy class, a composition about the stylist imitation of Cuban-American compoer Tania León","Han, Ziang",Hommage to Tania León - Full Score.pdf,636kb,.pdf
Hommage to Tania León,"Han, Ziang",12/16/2021,Orchestra-Music,English,"project for a musicoloy class, a composition about the stylist imitation of Cuban-American compoer Tania León","Han, Ziang",Hommage to Tania León.mp3,5.6mb,.mp3
In the Abyss... sheening... weathering,"Han, Ziang",11/16/2021,Quartet-Music,English,"<<In the Abyss... sheening... weathering...>> is inspired by one of my recent composition for tuba and saxophone---<<Gazing at Ephemerality in My Broken Shadow>> I was intrigued by the colorful possibility of sound articulated from tuba played in the Voxman concert hall, so I want to write something for it. I originally planned to write for 3 tubas, but as I know more people from music school, I decide to change it to 2 tubas (John Reyna the tuba student, John Manning the tuba professor) 1 prepared piano and mezzo soprano (Ghadeer Abaido and Kelly Hill, they are friend) These 3 types of instruments seem separate, but I use a lot of techniques that is very “echoing” to make them into a whole. Imagine if you are sitting on the floor of a deep unknown ocean where the historically distanced and unrelated artifacts are presented in front of you because of the unceasing currents, and they are emanating this light sheen. It is so delicate as if it will go away after your next blink, but it will keep weathering and become part of the ocean over a long time. The text is from Kelly Hill’s favorite recitatives in multiple languages, but it’s not related to my sound (music) at all as if it is another entity trying to blend with the other 3 in this abyss.","Han, Ziang",In the Abyss... sheening... weathering... - Full Score.pdf,306kb,.pdf
In the Abyss... sheening... weathering,"Han, Ziang",4/8/2022,Quartet-Music,English,"<<In the Abyss... sheening... weathering...>> is inspired by one of my recent composition for tuba and saxophone---<<Gazing at Ephemerality in My Broken Shadow>> I was intrigued by the colorful possibility of sound articulated from tuba played in the Voxman concert hall, so I want to write something for it. I originally planned to write for 3 tubas, but as I know more people from music school, I decide to change it to 2 tubas (John Reyna the tuba student, John Manning the tuba professor) 1 prepared piano and mezzo soprano (Ghadeer Abaido and Kelly Hill, they are friend) These 3 types of instruments seem separate, but I use a lot of techniques that is very “echoing” to make them into a whole. Imagine if you are sitting on the floor of a deep unknown ocean where the historically distanced and unrelated artifacts are presented in front of you because of the unceasing currents, and they are emanating this light sheen. It is so delicate as if it will go away after your next blink, but it will keep weathering and become part of the ocean over a long time. The text is from Kelly Hill’s favorite recitatives in multiple languages, but it’s not related to my sound (music) at all as if it is another entity trying to blend with the other 3 in this abyss.","Han, Ziang",Ziang Han- In the Abyss…Sheening…Weathering.mp3,20.7mb,.mp3
look away,"Han, Ziang",4/20/2022,Duo-Music,English,"Imagine you are having a dream, in the dream, once you look away, you lose the connection with the current world and already in another space and
 time, but somehow, you don’t feel this is contrary to your common sense of
 time…..
 This composition explores my fear and dissatisfaction towards linear time sensation and physical limitations of human-being. It consists of 11 parts, each part is a different world, some of them are based on real life settings,some of them are imagined. Based on the order, they are: “gaze upon,” “the construction site,” “gaze down-below,” “ritual of disintegration,” “disintegration,” “cage,” “robot’s cooking pot,” “windbridge,” “the edge of limbo,” “mad pope,” and “gaze upon.”","Han, Ziang",look away - Full Score.pdf,271kb,.pdf
look away,"Han, Ziang",5/3/2022,Duo-Music,English,"Imagine you are having a dream, in the dream, once you look away, you lose the connection with the current world and already in another space and
 time, but somehow, you don’t feel this is contrary to your common sense of
 time…..
 This composition explores my fear and dissatisfaction towards linear time sensation and physical limitations of human-being. It consists of 11 parts, each part is a different world, some of them are based on real life settings,some of them are imagined. Based on the order, they are: “gaze upon,” “the construction site,” “gaze down-below,” “ritual of disintegration,” “disintegration,” “cage,” “robot’s cooking pot,” “windbridge,” “the edge of limbo,” “mad pope,” and “gaze upon.”","Han, Ziang","01 HAN, Look Away.mp4",1.44GB,.mp4
Wandering On the Border of Infinities,"Han, Ziang",2/19/2023,String Quartet-Music,English,"Wandering on the Border of Infinities - This composition is inspired by the construction of a string instrument itself. I imagine the bridge as a metaphorical border, a place that cannot be confined within time or space, filled with mysterious air. As you are wandering around it (above or below the bridge), unknown and strange fields start to emerge and disappear. Sometimes you just look at them from afar, sometimes you find one that is very tempting, and you walk into it….","Han, Ziang",Han-Wandering on the Border of Infinities.pdf,289kb,.pdf
Wandering On the Border of Infinities,"Han, Ziang",12/20/2023,String Quartet-Music,English,"Wandering on the Border of Infinities - This composition is inspired by the construction of a string instrument itself. I imagine the bridge as a metaphorical border, a place that cannot be confined within time or space, filled with mysterious air. As you are wandering around it (above or below the bridge), unknown and strange fields start to emerge and disappear. Sometimes you just look at them from afar, sometimes you find one that is very tempting, and you walk into it….","Han, Ziang","07 HAN, Wandering on the Border of Infinities.mp3",20.6mb,.mp3
"Ionized Vision, Vaporized Light","Han, Ziang",2/22/2024,Wind Ensmeble-Music,English,"Ionized Vision, Vaporized Light is about an imagined gigantic and boundless creature who only has access to its optic sensation. The creature is otherwise trapped inside something amorphous, borderless, and invisible. The strong attack at the very beginning, and throughout the piece, represents the loud and metallic clanking sound made by its eyelids as the creature blinks. Each time it blinks, its surroundings crumble down a bit, slowly disintegrating from inside, ionized in the end. Over time, those ionized particles merge with each other and the light, ascending into another space, vaporized.","Han, Ziang","Ionized Vision, Vaporized Light - Full Score.pdf",424kb,.pdf
"Ionized Vision, Vaporized Light","Han, Ziang",4/11/2023,Wind Ensmeble-Music,English,"Ionized Vision, Vaporized Light is about an imagined gigantic and boundless creature who only has access to its optic sensation. The creature is otherwise trapped inside something amorphous, borderless, and invisible. The strong attack at the very beginning, and throughout the piece, represents the loud and metallic clanking sound made by its eyelids as the creature blinks. Each time it blinks, its surroundings crumble down a bit, slowly disintegrating from inside, ionized in the end. Over time, those ionized particles merge with each other and the light, ascending into another space, vaporized.","Han, Ziang","03 HAN, Ionized Vision, Vaporized Light.mp3",13.gmb,.mp3
